# Gait Setpoints for MCU Testing
# Update Rate: 200 Hz (5.0 ms per step)
# Total Steps: 300
# Cycle Duration: 1500 ms
# Format: step, time_ms, motor_A_deg*100, motor_B_deg*100
#
  0,     0.0, -77207, -15149
  1,     5.0, -77309, -14904
  2,    10.0, -77419, -14663
  3,    15.0, -77536, -14428
  4,    20.0, -77660, -14199
  5,    25.0, -77792, -13975
  6,    30.0, -77931, -13757
  7,    35.0, -78076, -13545
  8,    40.0, -78230, -13339
  9,    45.0, -78390, -13140
 10,    50.0, -78557, -12946
 11,    55.0, -78731, -12760
 12,    60.0, -78912, -12580
 13,    65.0, -79100, -12407
 14,    70.0, -79295, -12242
 15,    75.0, -79496, -12083
 16,    80.0, -79704, -11932
 17,    85.0, -79919, -11789
 18,    90.0, -80140, -11653
 19,    95.0, -80367, -11526
 20,   100.0, -80601, -11407
 21,   105.0, -80841, -11296
 22,   110.0, -81088, -11193
 23,   115.0, -81341, -11099
 24,   120.0, -81599, -11014
 25,   125.0, -81864, -10939
 26,   130.0, -82135, -10872
 27,   135.0, -82412, -10815
 28,   140.0, -82694, -10767
 29,   145.0, -82982, -10729
 30,   150.0, -83276, -10701
 31,   155.0, -83575, -10682
 32,   160.0, -83879, -10674
 33,   165.0, -84189, -10677
 34,   170.0, -84505, -10689
 35,   175.0, -84825, -10713
 36,   180.0, -85151, -10747
 37,   185.0, -85481, -10792
 38,   190.0, -85816, -10848
 39,   195.0, -86156, -10915
 40,   200.0, -86501, -10993
 41,   205.0, -86850, -11082
 42,   210.0, -87204, -11183
 43,   215.0, -87562, -11295
 44,   220.0, -87924, -11419
 45,   225.0, -88291, -11554
 46,   230.0, -88661, -11700
 47,   235.0, -89035, -11859
 48,   240.0, -89412, -12028
 49,   245.0, -89794, -12210
 50,   250.0, -90178, -12403
 51,   255.0, -90566, -12607
 52,   260.0, -90957, -12823
 53,   265.0, -91351, -13051
 54,   270.0, -91748, -13289
 55,   275.0, -92147, -13540
 56,   280.0, -92549, -13801
 57,   285.0, -92953, -14073
 58,   290.0, -93359, -14356
 59,   295.0, -93767, -14650
 60,   300.0, -94176, -14955
 61,   305.0, -94588, -15270
 62,   310.0, -95000, -15595
 63,   315.0, -95414, -15931
 64,   320.0, -95828, -16276
 65,   325.0, -96243, -16631
 66,   330.0, -96659, -16995
 67,   335.0, -97074, -17368
 68,   340.0, -97490, -17750
 69,   345.0, -97905, -18140
 70,   350.0, -98320, -18539
 71,   355.0, -98734, -18945
 72,   360.0, -99147, -19360
 73,   365.0, -99559, -19781
 74,   370.0, -99970, -20209
 75,   375.0, -100378, -20644
 76,   380.0, -100785, -21086
 77,   385.0, -101189, -21533
 78,   390.0, -101590, -21986
 79,   395.0, -101989, -22443
 80,   400.0, -102384, -22906
 81,   405.0, -102776, -23373
 82,   410.0, -103165, -23845
 83,   415.0, -103549, -24320
 84,   420.0, -103930, -24798
 85,   425.0, -104305, -25280
 86,   430.0, -104677, -25764
 87,   435.0, -105043, -26250
 88,   440.0, -105403, -26738
